16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
16,34,16,25,24,23,25,24,23,132,133,23,24,25,23,24,25,16,34,16
16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
16,34,16,157,156,157,158,159,158,132,133,159,158,157,159,159,158,16,34,16
16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
16,34,16,25,24,23,25,24,23,132,133,23,24,25,23,24,25,16,34,16
16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
16,34,16,157,156,157,158,159,158,132,133,159,158,157,159,159,158,16,34,16
16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
16,34,16,25,24,23,25,24,23,132,133,23,24,25,23,24,25,16,34,16
16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
16,34,16,157,156,157,158,159,158,132,133,159,158,157,159,159,158,16,34,16
16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
16,34,16,25,24,23,25,24,23,132,133,23,24,25,23,24,25,16,34,16
16,34,16,148,149,148,149,148,149,148,149,148,149,148,149,148,149,16,34,16
